1,1,1,29.69911764705882,0,0,110.8833,1
1,1,1,17.0,1,0,108.9,1
0,2,0,30.0,1,0,24.0,1
1,1,1,30.0,0,0,56.9292,1
1,1,1,24.0,0,0,83.1583,1
1,1,1,18.0,2,2,262.375,1
0,2,1,26.0,1,1,26.0,0
0,3,0,28.0,0,0,7.8958,0
0,2,0,43.0,1,1,26.25,0
1,3,1,26.0,0,0,7.8542,0
1,2,1,24.0,1,0,26.0,0
0,2,0,54.0,0,0,14.0,0
1,1,1,31.0,0,2,164.8667,0
1,1,1,40.0,1,1,134.5,1
0,3,0,22.0,0,0,7.25,0
0,3,0,27.0,0,0,7.8958,0
1,2,1,30.0,0,0,12.35,2
1,2,1,22.0,1,1,29.0,0
0,3,0,29.69911764705882,8,2,69.55,0
1,1,1,36.0,0,0,135.6333,1
0,3,0,61.0,0,0,6.2375,0
1,2,1,36.0,0,0,13.0,0
1,3,1,31.0,1,1,20.525,0
1,1,1,16.0,0,1,57.9792,1
1,3,1,29.69911764705882,2,0,23.25,2
0,1,0,45.5,0,0,28.5,0
0,1,0,38.0,0,1,153.4625,0
0,3,0,16.0,2,0,18.0,0
1,1,1,29.69911764705882,1,0,133.65,0
0,3,0,29.69911764705882,0,0,7.8958,0
0,1,0,29.0,1,0,66.6,0
1,1,1,41.0,0,0,134.5,1
1,3,0,45.0,0,0,8.05,0
0,1,0,45.0,0,0,35.5,0
1,2,0,2.0,1,1,26.0,0
1,1,1,24.0,3,2,263.0,0
0,2,0,28.0,0,0,13.0,0
0,2,0,25.0,0,0,13.0,0
0,2,0,36.0,0,0,13.0,0
1,2,1,24.0,0,0,13.0,0
1,2,1,40.0,0,0,13.0,0
1,3,1,29.69911764705882,1,0,16.1,0
1,3,0,3.0,1,1,15.9,0
0,3,0,42.0,0,0,8.6625,0
0,3,0,23.0,0,0,9.225,0
0,1,0,29.69911764705882,0,0,35.0,0
0,3,0,15.0,1,1,7.2292,1
0,3,0,25.0,1,0,17.8,0
0,3,0,29.69911764705882,0,0,7.225,1
0,3,0,28.0,0,0,9.5,0
1,1,1,22.0,0,1,55.0,0
0,2,1,38.0,0,0,13.0,0
1,3,1,29.69911764705882,0,0,7.8792,2
1,3,1,29.69911764705882,0,0,7.8792,2
0,3,0,40.0,1,4,27.9,0
0,2,0,29.0,1,0,27.7208,1
0,3,1,45.0,0,1,14.4542,1
0,3,0,35.0,0,0,7.05,0
0,3,0,29.69911764705882,1,0,15.5,2
0,3,0,30.0,0,0,7.25,0
1,1,1,60.0,1,0,75.25,1
1,3,1,29.69911764705882,0,0,7.2292,1
1,3,1,29.69911764705882,0,0,7.75,2
1,1,1,24.0,0,0,69.3,1
1,1,0,25.0,1,0,55.4417,1
0,3,0,18.0,1,0,6.4958,0
0,3,0,19.0,0,0,8.05,0
0,1,0,22.0,0,0,135.6333,1
0,3,1,3.0,3,1,21.075,0
1,1,1,29.69911764705882,1,0,82.1708,1
1,3,1,22.0,0,0,7.25,0
0,1,0,27.0,0,2,211.5,1
0,3,0,20.0,0,0,4.0125,1
0,3,0,19.0,0,0,7.775,0
1,1,1,42.0,0,0,227.525,1
1,3,1,1.0,0,2,15.7417,1
0,3,0,32.0,0,0,7.925,0
1,1,1,35.0,1,0,52.0,0
0,3,0,29.69911764705882,0,0,7.8958,0
0,2,0,18.0,0,0,73.5,0
0,3,0,1.0,5,2,46.9,0
1,2,1,36.0,0,0,13.0,0
0,3,0,29.69911764705882,0,0,7.7292,2
1,2,1,17.0,0,0,12.0,1
1,1,0,36.0,1,2,120.0,0
1,3,0,21.0,0,0,7.7958,0
0,3,0,28.0,2,0,7.925,0
1,1,1,23.0,1,0,113.275,1
1,3,1,24.0,0,2,16.7,0
0,3,0,22.0,0,0,7.7958,0
0,3,1,31.0,0,0,7.8542,0
0,2,0,46.0,0,0,26.0,0
0,2,0,23.0,0,0,10.5,0
1,2,1,28.0,0,0,12.65,0
1,3,0,39.0,0,0,7.925,0
0,3,0,26.0,0,0,8.05,0
0,3,1,21.0,1,0,9.825,0
0,3,0,28.0,1,0,15.85,0
0,3,1,20.0,0,0,8.6625,0
0,2,0,34.0,1,0,21.0,0
0,3,0,51.0,0,0,7.75,0
1,2,0,3.0,1,1,18.75,0
0,3,0,21.0,0,0,7.775,0
0,3,1,29.69911764705882,3,1,25.4667,0
0,3,0,29.69911764705882,0,0,7.8958,0
0,3,0,29.69911764705882,0,0,6.8583,2
1,1,1,33.0,1,0,90.0,2
0,2,0,29.69911764705882,0,0,0.0,0
1,3,0,44.0,0,0,7.925,0
0,3,1,29.69911764705882,0,0,8.05,0
1,2,1,34.0,1,1,32.5,0
1,2,1,18.0,0,2,13.0,0
0,2,0,30.0,0,0,13.0,0
0,3,1,10.0,0,2,24.15,0
0,3,0,29.69911764705882,0,0,7.8958,1
0,3,0,21.0,0,0,7.7333,2
0,3,0,29.0,0,0,7.875,0
0,3,1,28.0,1,1,14.4,0
0,3,0,18.0,1,1,20.2125,0
0,3,0,29.69911764705882,0,0,7.25,0
1,2,1,28.0,1,0,26.0,0
1,2,1,19.0,0,0,26.0,0
0,3,0,29.69911764705882,0,0,7.75,2
1,3,0,32.0,0,0,8.05,0
1,1,0,28.0,0,0,26.55,0
1,3,1,29.69911764705882,1,0,16.1,0
1,2,1,42.0,1,0,26.0,0
0,3,0,17.0,0,0,7.125,0
0,1,0,50.0,1,0,55.9,0
1,1,1,14.0,1,2,120.0,0
0,3,1,21.0,2,2,34.375,0
1,2,1,24.0,2,3,18.75,0
0,1,0,64.0,1,4,263.0,0
0,2,0,31.0,0,0,10.5,0
1,2,1,45.0,1,1,26.25,0
0,3,0,20.0,0,0,9.5,0
0,3,0,25.0,1,0,7.775,0
1,2,1,28.0,0,0,13.0,0
1,3,0,29.69911764705882,0,0,8.1125,0
1,1,0,4.0,0,2,81.8583,0
1,2,1,13.0,0,1,19.5,0
1,1,0,34.0,0,0,26.55,0
1,3,1,5.0,2,1,19.2583,1
1,1,0,52.0,0,0,30.5,0
0,2,0,36.0,1,2,27.75,0
0,3,0,29.69911764705882,1,0,19.9667,0
0,1,0,30.0,0,0,27.75,1
1,1,0,49.0,1,0,89.1042,1
0,3,0,29.69911764705882,0,0,8.05,0
1,3,0,29.0,0,0,7.8958,1
0,1,0,65.0,0,0,26.55,0
1,1,1,29.69911764705882,1,0,51.8625,0
1,2,1,50.0,0,0,10.5,0
0,3,0,29.69911764705882,0,0,7.75,2
1,1,0,48.0,0,0,26.55,0
0,3,0,34.0,0,0,8.05,0
0,1,0,47.0,0,0,38.5,0
0,2,0,48.0,0,0,13.0,0
0,3,0,29.69911764705882,0,0,8.05,0
0,3,0,38.0,0,0,7.05,0
0,2,0,29.69911764705882,0,0,0.0,0
0,1,0,56.0,0,0,26.55,0
0,3,0,29.69911764705882,0,0,7.725,2
1,3,1,0.75,2,1,19.2583,1
0,3,0,29.69911764705882,0,0,7.25,0
0,3,0,38.0,0,0,8.6625,0
1,2,1,33.0,1,2,27.75,0
1,2,1,23.0,0,0,13.7917,1
0,3,1,22.0,0,0,9.8375,0
0,1,0,29.69911764705882,0,0,52.0,0
0,2,0,34.0,1,0,21.0,0
0,3,0,29.0,1,0,7.0458,0
0,3,0,22.0,0,0,7.5208,0
1,3,1,2.0,0,1,12.2875,0
0,3,0,9.0,5,2,46.9,0
0,2,0,29.69911764705882,0,0,0.0,0
0,3,0,50.0,0,0,8.05,0
1,3,1,63.0,0,0,9.5875,0
1,1,0,25.0,1,0,91.0792,1
0,3,1,29.69911764705882,3,1,25.4667,0
1,1,1,35.0,1,0,90.0,0
0,1,0,58.0,0,0,29.7,1
0,3,0,30.0,0,0,8.05,0
1,3,0,9.0,1,1,15.9,0
0,3,0,29.69911764705882,1,0,19.9667,0
0,3,0,21.0,0,0,7.25,0
0,1,0,55.0,0,0,30.5,0
0,1,0,71.0,0,0,49.5042,1
0,3,0,21.0,0,0,8.05,0
0,3,0,29.69911764705882,0,0,14.4583,1
1,1,1,54.0,1,0,78.2667,1
0,3,0,29.69911764705882,0,0,15.1,0
0,1,1,25.0,1,2,151.55,0
0,3,0,24.0,0,0,7.7958,0
0,3,0,17.0,0,0,8.6625,0
0,3,1,21.0,0,0,7.75,2
0,3,1,29.69911764705882,0,0,7.6292,2
0,3,1,37.0,0,0,9.5875,0
1,1,1,16.0,0,0,86.5,0
0,1,0,18.0,1,0,108.9,1
1,2,1,33.0,0,2,26.0,0
1,1,0,29.69911764705882,0,0,26.55,0
0,3,0,28.0,0,0,22.525,0
1,3,0,26.0,0,0,56.4958,0
1,3,0,29.0,0,0,7.75,2
0,3,0,29.69911764705882,0,0,8.05,0
1,1,0,36.0,0,0,26.2875,0
1,1,1,54.0,1,0,59.4,1
0,3,0,24.0,0,0,7.4958,0
0,1,0,47.0,0,0,34.0208,0
1,2,1,34.0,0,0,10.5,0
0,3,0,29.69911764705882,0,0,24.15,2
1,2,1,36.0,1,0,26.0,0
0,3,0,32.0,0,0,7.8958,0
1,1,1,30.0,0,0,93.5,0
0,3,0,22.0,0,0,7.8958,0
0,3,0,29.69911764705882,0,0,7.225,1
1,1,1,44.0,0,1,57.9792,1
0,3,0,29.69911764705882,0,0,7.2292,1
0,3,0,40.5,0,0,7.75,2
1,2,1,50.0,0,0,10.5,0
0,1,0,29.69911764705882,0,0,221.7792,0
0,3,0,39.0,0,0,7.925,0
0,2,0,23.0,2,1,11.5,0
1,2,1,2.0,1,1,26.0,0
0,3,0,29.69911764705882,0,0,7.2292,1
0,3,0,17.0,1,1,7.2292,1
1,3,1,29.69911764705882,0,2,22.3583,1
0,3,1,30.0,0,0,8.6625,0
1,2,1,7.0,0,2,26.25,0
0,1,0,45.0,0,0,26.55,0
1,1,1,30.0,0,0,106.425,1
0,3,0,29.69911764705882,0,0,14.5,0
1,1,1,22.0,0,2,49.5,1
1,1,1,36.0,0,2,71.0,0
0,3,1,9.0,4,2,31.275,0
0,3,1,11.0,4,2,31.275,0
1,2,0,32.0,1,0,26.0,0
0,1,0,50.0,1,0,106.425,1
0,1,0,64.0,0,0,26.0,0
1,2,1,19.0,1,0,26.0,0
1,2,0,29.69911764705882,0,0,13.8625,1
0,3,0,33.0,1,1,20.525,0
1,2,0,8.0,1,1,36.75,0
1,1,0,17.0,0,2,110.8833,1
0,2,0,27.0,0,0,26.0,0
0,3,0,29.69911764705882,0,0,7.8292,2
1,3,0,22.0,0,0,7.225,1
1,3,1,22.0,0,0,7.775,0
0,1,0,62.0,0,0,26.55,0
1,1,1,48.0,1,0,39.6,1
0,1,0,29.69911764705882,0,0,227.525,1
1,1,1,39.0,1,1,79.65,0
1,3,1,36.0,1,0,17.4,0
0,3,0,29.69911764705882,0,0,7.75,2
0,3,0,40.0,0,0,7.8958,0
0,2,0,28.0,0,0,13.5,0
0,3,0,29.69911764705882,0,0,8.05,0
0,3,1,29.69911764705882,0,0,8.05,0
0,3,0,24.0,2,0,24.15,0
0,3,0,19.0,0,0,7.8958,0
0,3,1,29.0,0,4,21.075,0
0,3,0,29.69911764705882,0,0,7.2292,1
1,3,0,32.0,0,0,7.8542,0
1,2,0,62.0,0,0,10.5,0
1,1,1,53.0,2,0,51.4792,0
1,1,0,36.0,0,0,26.3875,0
1,3,1,29.69911764705882,0,0,7.75,2
0,3,0,16.0,0,0,8.05,0
0,3,0,19.0,0,0,14.5,0
1,2,1,34.0,0,0,13.0,0
1,1,1,39.0,1,0,55.9,0
0,3,1,29.69911764705882,1,0,14.4583,1
1,3,0,32.0,0,0,7.925,0
1,2,1,25.0,1,1,30.0,0
1,1,1,39.0,1,1,110.8833,1
0,2,0,54.0,0,0,26.0,0
0,1,0,36.0,0,0,40.125,1
0,3,0,29.69911764705882,0,0,8.7125,1
1,1,1,18.0,0,2,79.65,0
0,2,0,47.0,0,0,15.0,0
1,1,0,60.0,1,1,79.2,1
0,3,0,22.0,0,0,8.05,0
0,3,0,29.69911764705882,0,0,8.05,0
0,3,0,35.0,0,0,7.125,0
1,1,1,52.0,1,0,78.2667,1
0,3,0,47.0,0,0,7.25,0
0,3,1,29.69911764705882,0,2,7.75,2
0,2,0,37.0,1,0,26.0,0
0,3,0,36.0,1,1,24.15,0
1,2,1,29.69911764705882,0,0,33.0,0
0,3,0,49.0,0,0,0.0,0
0,3,0,29.69911764705882,0,0,7.225,1
1,1,0,49.0,1,0,56.9292,1
1,2,1,24.0,2,1,27.0,0
0,3,0,29.69911764705882,0,0,7.8958,0
0,1,0,29.69911764705882,0,0,42.4,0
0,3,0,44.0,0,0,8.05,0
1,1,0,35.0,0,0,26.55,1
0,3,0,36.0,1,0,15.55,0
0,3,0,30.0,0,0,7.8958,0
1,1,0,27.0,0,0,30.5,0
1,2,1,22.0,1,2,41.5792,1
1,1,1,40.0,0,0,153.4625,0
0,3,1,39.0,1,5,31.275,0
0,3,0,29.69911764705882,0,0,7.05,0
1,3,1,29.69911764705882,1,0,15.5,2
0,3,0,29.69911764705882,0,0,7.75,2
0,3,0,35.0,0,0,8.05,0
1,2,1,24.0,1,2,65.0,0
0,3,0,34.0,1,1,14.4,0
0,3,1,26.0,1,0,16.1,0
1,2,1,4.0,2,1,39.0,0
0,2,0,26.0,0,0,10.5,0
0,3,0,27.0,1,0,14.4542,1
1,1,0,42.0,1,0,52.5542,0
1,3,0,20.0,1,1,15.7417,1
0,3,0,21.0,0,0,7.8542,0
0,3,0,21.0,0,0,16.1,0
0,1,0,61.0,0,0,32.3208,0
0,2,0,57.0,0,0,12.35,2
1,1,1,21.0,0,0,77.9583,0
0,3,0,26.0,0,0,7.8958,0
0,3,0,29.69911764705882,0,0,7.7333,2
1,1,0,80.0,0,0,30.0,0
0,3,0,51.0,0,0,7.0542,0
1,1,0,32.0,0,0,30.5,1
0,1,0,29.69911764705882,0,0,0.0,0
0,3,1,9.0,3,2,27.9,0
1,2,1,28.0,0,0,13.0,0
0,3,0,32.0,0,0,7.925,0
0,2,0,31.0,1,1,26.25,0
0,3,1,41.0,0,5,39.6875,0
0,3,0,29.69911764705882,1,0,16.1,0
0,3,0,20.0,0,0,7.8542,0
1,1,1,24.0,0,0,69.3,1
0,3,1,2.0,3,2,27.9,0
1,3,0,29.69911764705882,0,0,56.4958,0
1,3,1,0.75,2,1,19.2583,1
1,1,0,48.0,1,0,76.7292,1
0,3,0,19.0,0,0,7.8958,0
1,1,0,56.0,0,0,35.5,1
0,3,0,29.69911764705882,0,0,7.55,0
1,3,1,23.0,0,0,7.55,0
0,3,0,29.69911764705882,0,0,7.8958,0
1,2,1,18.0,0,1,23.0,0
0,3,0,21.0,0,0,8.4333,0
1,3,1,29.69911764705882,0,0,7.8292,2
0,3,1,18.0,0,0,6.75,2
0,2,0,24.0,2,0,73.5,0
0,3,0,29.69911764705882,0,0,7.8958,0
0,3,1,32.0,1,1,15.5,2
0,2,0,23.0,0,0,13.0,0
0,1,0,58.0,0,2,113.275,1
1,1,0,50.0,2,0,133.65,0
